분류,번호,지문,선택항목1,선택항목2,선택항목1값,선택항목2값
1,1,나는 하루 정도 어딘가를 다녀오고 싶으면,언제 무엇을 할 것인지 계획하는 편이다.,세부 계획 없이 떠나는 편이다.,J,P
1,2,나는 대체로 나 자신에 대해,자발적인 사람이라고 여긴다.,계획적인 사람이라고 여긴다.,P,J
1,3,나는 대체로,다른 사람들과 쉽게 어울리는 편이다.,조용하고 말이 없는 편이다.,E,I
1,4,나는,이성보다 감정을 더 내세우는 편이다.,감정보다 이성을 더 내세우는 편이다.,F,T
1,5,나는 정해진 시간표를 따르는 것이,편하다.,답답하다.,J,P
1,6,나는 평소에,상상력이 풍부한 사람들과 잘 어울린다,현실감각이 있는 사람들과 잘 어울린다,N,S
1,7,나는 많은 일들을,한순간에 몰아서 하는 편이다.,계획에 따라 하는 편이다.,P,J
1,8,나는 다른 사람들이,쉽게 알 수 있는 사람이다.,시간이 좀 지나야 알 수 있는 사람이다.,E,I
1,9,대체로 다른 사람들이 나를 알아가는 데,많은 시간이 걸리는 편이다.,별로 시간이 걸리지 않는 편이다.,I,E
1,10,나는 대부분의 경우,상황에 따르는 편이다.,계획대로 하는 편이다.,P,J
1,11,나는 어떤 특별한 일을 처리할 때,시작하기 전에 주의 깊게 계획을 세우는 편이다.,일을 하면서 상황에 따라 필요한 대책을 세우는 편이다.,J,P
1,12,"내가 만약 인정받기를 원한다면, 나는 대체로",실제적이고 현실감각이 있는 사람으로 인정받기를 원한다.,독창적이고 창의력이 있는 사람으로 인정받기를 원한다.,S,N
1,13,나는 대체로,논리보다 정서를 더 중요시하는 편이다.,정서보다 논리를 더 중요시하는 편이다.,F,T
1,14,내가 친구로 사귀고 싶은 사람은,언제나 기발한 아이디어를 내는 사람이다.,현실감각이 있는 사람이다.,N,S
1,15,"나는 많은 사람들과 함께 있을 때,",주로 내가 다른 사람을 소개하는 편이다.,주로 다른 사람이 나를 소개하는 편이다.,E,I
1,16,나는 대체로,일의 진행상황을 기다려 본 후 계획을 세우는 편이다.,미리 계획을 세우는 편이다.,P,J
1,17,나는 많은 시간을,혼자서 보내는 편이다.,다른 사람들과 함께 보내는 편이다.,I,E
2,18,,계획된,계획되지 않은,J,P
2,19,,개인적인,개방적인,I,E
2,20,,온화한,강건한,F,T
2,21,,추상적인,실질적인,N,S
2,22,,규칙적인,느긋한,J,P
2,23,,사고,감정,T,F
2,24,,사실,아이디어,S,N
2,25,,조용한,활달한,I,E
2,26,,추론,확실,N,S
2,27,,계획에 따른,상황에 따른,J,P
2,28,,설득시킴,감동시킴,T,F
2,29,,사실적 진술,추상적 개념,S,N
2,30,,따뜻한 마음,예리한 사고,F,T
2,31,,말이 별로 없는,말로 쉽게 표현하는,I,E
2,32,,아이디어,실제,N,S
2,33,,유익함,베풂,T,F
2,34,,현실적인,이론적인,S,N
2,35,,소수의 친구,다수의 친구,I,E
2,36,,배려하는,공정한,F,T
2,37,,체계적인,자발적인,J,P
2,38,,상상,사실,N,S
2,39,,온정적인,객관적인,F,T
2,40,,객관적인,감성적인,S,N
2,41,,만들다,창안하다,S,N
3,42,"나는 일주일 안에 마무리 지어야 할 큰 일을 시작할 때, ",일의 목록과 처리 순서를 먼저 정한다.,바로 일부터 시작한다.,J,P
3,43,"나는 대부분의 사람들이 일상적으로 하는 일을, ",그 사람들이 해오던 방식대로 하는 편이다.,새롭게 내 방식을 찾아서 하는 편이다.,S,N
3,44,나를 처음 만나는 사람들은 나의 관심이 무엇인가를,금방 아는 편이다.,나를 잘 알고 난 후에 아는 편이다.,E,I
3,45,나는 대체로,개념과 원리를 다루는 과목을 좋아하는 편이다.,사실과 숫자를 다루는 과목을 좋아하는 편이다.,N,S
3,46,"나는 대체로 여행을 계획할 때, ",그날그날 하고 싶은 대로 하는 편이다.,미리 무엇을 할지 정해놓는 편이다.,P,J
3,47,"나는 여러 사람과 함께 있을 때, ",에너지가 충전이 되는 편이다.,자주 에너지가 소진되는 편이다.,E,I
3,48,나에게 더 좋은 칭찬으로 들리는 것은,감정에 솔직한 사람으로 불리는 것이다.,항상 합리적인 사람으로 불리는 것이다.,F,T
3,49,나는 계획에 따라 생활하는 것이,때로 필요하다고 생각하지만 별로 선호하지 않는 편이다.,도움이 되기 때문에 대부분의 경우 선호하는 편이다.,P,J
3,50,나는 대체로,사회생활에 필요한 약속을 미리 해두는 편이다.,상황에 맞춰 자유롭게 처리하는 편이다.,J,P
3,51,나는 대체로 여러 사람들과 함께 있을 때 ,잘 아는 사람과 개인적으로 대화를 나누는 편이다.,여러 사람들과 함께 어울려 대화를 나누는 편이다.,I,E
3,52,나는 친목회나 모임을,미리 여유있게 계획하는 편이다.,상황에 따라 즐길 수 있도록 자유롭게 두는 편이다.,J,P
3,53,나는,이미 만들어진 기존 방식을 지지하는 편이다.,기존 방식의 개선할 점을 파악하고 대안을 제시하는 편이다.,S,N
3,54,"나는 큰 과제를 맡았을 때, ",우선 일을 진행하면서 필요한 사항을 알아가는 편이다.,먼저 일을 단계적으로 나누어 시작하는 편이다.,P,J
3,55,나는 대체로,다른 사람들과 잘 어울리는 편이다.,혼자서 잘 지내는 편이다.,E,I
3,56,"나는 독서를 할 때, ",독특하고 독창적인 내용을 즐기는 편이다.,뜻하는 바가 정확한 내용을 좋아하는 편이다.,N,S
3,57,내가 함께 일하고 싶은 윗사람(교사)은,일관성은 부족하나 인간성이 좋은 사람이다.,비관적이긴 하나 항상 일관성이 있는 사람이다.,F,T
3,58,나는 친목회나 모임에서,때때로 지루해하는 편이다.,대체로 즐거운 편이다.,I,E
4,59,,상상의 세계,현실의 세계,N,S
4,60,,관대한,확고한,F,T
4,61,,공정한,돌보는,T,F
4,62,,생산,기획,S,N
4,63,,가능성,확실성,N,S
4,64,,온화함,강인함,F,T
4,65,,실질적인,감상적인,T,F
